index,exp_name,seed,torch_deterministic,cuda,track,wandb_project_name,wandb_entity,capture_video,env_id,total_timesteps,num_envs,gamma,total_iterations,num_minibatches,update_epochs,alpha,eta,beta,policy_lr,q_lr,anneal_lr,layer_init,policy_activation,num_hidden_layers,hidden_size,actor_last_layer_std,q_activation,q_num_hidden_layers,q_hidden_size,q_last_layer_std,use_policy,parametrized_sampler,sampler_activation,sampler_num_hidden_layers,sampler_hidden_size,sampler_last_layer_std,q_optimizer,actor_optimizer,sampler_optimizer,eps,average_critics,use_kl_loss,q_histogram,normalize_delta,gae,gae_lambda,target_network,tau,target_network_frequency,save_learning_curve,minibatch_size,num_iterations,num_steps
1,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,32,0.99,256,16,150,1,,0.0001,0.003,0.0001,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,True,False,0.95,False,1.0,32,False,0,0,0
2,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,8,0.99,2048,16,20,2,,0.0001,0.0003,3e-05,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,True,True,0.95,False,1.0,4,False,0,0,0
3,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,128,0.99,1024,16,1,8,,0.0001,0.003,3e-05,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,True,True,0.95,False,1.0,2,False,0,0,0
4,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,32,0.99,2048,16,30,64,,0.0001,0.0001,0.001,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,False,True,0.95,False,1.0,2,False,0,0,0
5,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,128,0.99,2048,16,100,32,,0.0001,3e-05,0.00025,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,False,False,0.95,True,1.0,64,False,0,0,0
6,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,8,0.99,4096,16,150,1,,0.0001,0.00025,0.001,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,True,True,0.95,False,1.0,16,False,0,0,0
7,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,8,0.99,512,16,150,1,,0.0001,3e-05,0.001,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,True,False,False,False,0.95,True,1.0,64,False,0,0,0
8,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,64,0.99,256,16,50,8,,0.0001,0.0003,3e-05,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,True,True,0.95,False,1.0,32,False,0,0,0
9,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,8,0.99,256,16,40,8,,0.0001,0.0003,3e-05,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,True,False,False,False,0.95,False,1.0,32,False,0,0,0
10,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,8,0.99,256,16,150,12,,0.0001,0.0003,0.00025,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,True,True,0.95,True,1.0,2,False,0,0,0
11,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,256,0.99,512,16,10,4,,0.0001,0.001,0.001,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,True,False,True,False,0.95,True,1.0,2,False,0,0,0
12,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,32,0.99,1024,16,150,2,,0.0001,3e-05,0.001,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,True,False,0.95,False,1.0,2,False,0,0,0
13,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,8,0.99,512,16,100,4,,0.0001,0.00025,0.001,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,True,False,True,True,0.95,True,1.0,8,False,0,0,0
14,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,32,0.99,512,16,10,32,,0.0001,0.003,3e-05,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,False,False,0.95,True,1.0,16,False,0,0,0
15,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,8,0.99,1024,16,100,12,,0.0001,0.0001,3e-05,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,True,False,False,False,0.95,True,1.0,4,False,0,0,0
16,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,4,0.99,2048,16,30,12,,0.0001,0.001,0.0001,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,True,False,False,True,0.95,True,1.0,4,False,0,0,0
17,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,32,0.99,2048,16,30,8,,0.0001,0.003,3e-05,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,False,True,0.95,True,1.0,4,False,0,0,0
18,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,128,0.99,256,16,30,64,,0.0001,0.00025,0.001,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,True,False,True,True,0.95,True,1.0,8,False,0,0,0
19,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,256,0.99,1024,16,40,1,,0.0001,0.001,0.003,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,True,False,0.95,True,1.0,2,False,0,0,0
20,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,16,0.99,512,16,40,32,,0.0001,0.00025,3e-05,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,False,True,0.95,True,1.0,32,False,0,0,0
21,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,128,0.99,256,16,30,4,,0.0001,0.003,3e-05,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,True,True,0.95,False,1.0,4,False,0,0,0
22,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,16,0.99,256,16,30,12,,0.0001,3e-05,0.001,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,True,False,False,False,0.95,False,1.0,32,False,0,0,0
23,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,8,0.99,512,16,150,8,,0.0001,0.0003,0.0001,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,True,False,True,True,0.95,False,1.0,2,False,0,0,0
24,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,32,0.99,1024,16,30,2,,0.0001,0.003,0.001,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,False,False,0.95,True,1.0,64,False,0,0,0
25,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,16,0.99,512,16,100,8,,0.0001,0.001,0.003,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,True,False,0.95,False,1.0,2,False,0,0,0
26,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,64,0.99,256,16,50,32,,0.0001,0.001,3e-05,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,True,False,False,False,0.95,True,1.0,8,False,0,0,0
27,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,16,0.99,256,16,100,32,,0.0001,3e-05,0.0003,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,True,True,0.95,True,1.0,2,False,0,0,0
28,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,256,0.99,256,16,50,64,,0.0001,0.00025,0.0001,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,False,True,0.95,False,1.0,4,False,0,0,0
29,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,64,0.99,1024,16,30,4,,0.0001,0.0003,0.00025,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,True,True,0.95,True,1.0,64,False,0,0,0
30,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,64,0.99,2048,16,50,12,,0.0001,0.0003,0.0003,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,True,False,True,False,0.95,False,1.0,4,False,0,0,0
31,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,128,0.99,1024,16,150,12,,0.0001,0.00025,0.003,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,True,False,False,False,0.95,True,1.0,32,False,0,0,0
32,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,64,0.99,256,16,100,1,,0.0001,3e-05,0.0001,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,True,False,False,False,0.95,True,1.0,4,False,0,0,0
33,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,16,0.99,256,16,20,32,,0.0001,0.0001,0.0001,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,True,True,0.95,False,1.0,64,False,0,0,0
34,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,8,0.99,512,16,40,64,,0.0001,0.001,0.0003,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,True,False,0.95,True,1.0,8,False,0,0,0
35,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,32,0.99,256,16,50,32,,0.0001,0.00025,0.003,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,True,False,False,True,0.95,False,1.0,32,False,0,0,0
36,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,128,0.99,2048,16,10,32,,0.0001,0.0003,0.001,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,True,False,True,True,0.95,False,1.0,2,False,0,0,0
37,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,64,0.99,2048,16,20,4,,0.0001,0.0001,0.0003,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,True,False,True,True,0.95,False,1.0,8,False,0,0,0
38,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,128,0.99,4096,16,20,64,,0.0001,0.00025,0.00025,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,True,False,False,False,0.95,False,1.0,32,False,0,0,0
39,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,32,0.99,2048,16,20,32,,0.0001,0.001,0.001,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,False,True,0.95,False,1.0,2,False,0,0,0
40,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,32,0.99,4096,16,150,32,,0.0001,0.001,0.001,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,False,True,0.95,False,1.0,32,False,0,0,0
41,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,4,0.99,256,16,150,4,,0.0001,0.0003,3e-05,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,False,True,0.95,True,1.0,2,False,0,0,0
42,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,16,0.99,512,16,30,1,,0.0001,0.001,0.00025,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,True,True,0.95,False,1.0,8,False,0,0,0
43,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,32,0.99,2048,16,10,64,,0.0001,3e-05,0.0003,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,True,True,0.95,False,1.0,2,False,0,0,0
44,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,8,0.99,256,16,50,12,,0.0001,3e-05,0.00025,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,True,False,0.95,False,1.0,16,False,0,0,0
45,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,32,0.99,256,16,150,4,,0.0001,0.003,0.0003,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,True,False,False,True,0.95,False,1.0,32,False,0,0,0
46,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,128,0.99,512,16,100,32,,0.0001,0.00025,0.001,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,False,False,0.95,False,1.0,4,False,0,0,0
47,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,16,0.99,512,16,20,8,,0.0001,3e-05,0.00025,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,True,False,True,False,0.95,False,1.0,4,False,0,0,0
48,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,64,0.99,2048,16,50,12,,0.0001,0.001,0.001,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,True,False,0.95,False,1.0,8,False,0,0,0
49,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,128,0.99,512,16,30,1,,0.0001,0.0003,0.00025,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,True,False,0.95,True,1.0,32,False,0,0,0
50,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,64,0.99,4096,16,30,4,,0.0001,0.0001,0.00025,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,True,False,True,False,0.95,False,1.0,2,False,0,0,0
51,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,128,0.99,512,16,1,12,,0.0001,0.0003,0.0003,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,True,True,0.95,True,1.0,4,False,0,0,0
52,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,16,0.99,512,16,100,1,,0.0001,0.0001,0.003,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,False,True,0.95,False,1.0,32,False,0,0,0
53,QREPS,0,True,True,False,CC,,False,LunarLander-v2,100000,16,0.99,256,16,150,4,,0.0001,0.0001,0.001,True,kaiming_uniform,Tanh,2,128,0.01,Tanh,4,128,1.0,True,False,Tanh,2,128,0.1,Adam,Adam,Adam,1e-08,True,False,False,False,True,0.95,True,1.0,4,False,0,0,0
