Step,Reward
4096.0,-195.7857208251953
8192.0,-403.1936289469401
12288.0,-402.5753987630208
16384.0,-403.6481475830078
20480.0,-403.55833435058594
24576.0,-411.4705861409505
28672.0,-406.5185190836589
32768.0,-406.9803924560547
36864.0,-410.8596496582031
40960.0,-407.3157908121745
45056.0,-408.6851857503255
49152.0,-405.75438435872394
53248.0,-408.62745157877606
57344.0,-414.55555725097656
61440.0,-414.53846232096356
65536.0,-422.93332926432294
69632.0,-425.8222249348958
73728.0,-428.7857157389323
77824.0,-427.25
81920.0,-429.1515197753906
86016.0,-437.1333312988281
90112.0,-432.6904805501302
94208.0,-451.26666259765625
98304.0,-449.1111145019531
