Step,Reward
4096.0,-299.83131408691406
8192.0,-283.15419514973956
12288.0,-287.42963155110675
16384.0,-285.62053934733075
20480.0,-300.51691182454425
24576.0,-315.2769012451172
28672.0,-327.5952860514323
32768.0,-364.60840861002606
36864.0,-337.34996541341144
40960.0,-353.8145243326823
45056.0,-366.18333943684894
49152.0,-411.6034698486328
53248.0,-412.92433166503906
57344.0,-403.07298278808594
61440.0,-357.6156870524089
65536.0,-361.2574996948242
69632.0,-431.44544982910156
73728.0,-442.87294514973956
77824.0,-406.9906641642253
81920.0,-419.5276387532552
86016.0,-416.07701110839844
90112.0,-415.20134989420575
94208.0,-415.25783284505206
98304.0,-422.7102559407552
