Step,Reward
2560.0,-133.0
3072.0,-172.0
3584.0,-218.0
4096.0,-237.625
5120.0,-316.0
6144.0,-236.0
6656.0,-335.3333435058594
7168.0,-211.60000610351562
7680.0,-225.6666717529297
8192.0,-442.125
8704.0,-427.3333333333333
9216.0,-427.6666666666667
9728.0,-407.6666666666667
10240.0,-399.8333333333333
11264.0,-425.6666666666667
11776.0,-412.44444274902344
12288.0,-421.5
12800.0,-427.8333333333333
13312.0,-400.3333333333333
13824.0,-386.9166666666667
14336.0,-442.3333333333333
14848.0,-420.6666666666667
15360.0,-453.6666666666667
15872.0,-419.3333333333333
16384.0,-423.9166666666667
16896.0,-395.5
17920.0,-451.0
18432.0,-434.6666666666667
19456.0,-436.7777811686198
20480.0,-419.8333333333333
20992.0,-481.6666666666667
21504.0,-455.55555216471356
22016.0,-443.8888854980469
22528.0,-420.0
23040.0,-411.77777608235675
23552.0,-467.3333333333333
24064.0,-413.0
24576.0,-446.8333333333333
25088.0,-435.0
25600.0,-415.8333333333333
26112.0,-425.3333333333333
26624.0,-434.75
27136.0,-419.0
27648.0,-426.0
28160.0,-437.3333333333333
29184.0,-440.1111145019531
30208.0,-439.6666666666667
30720.0,-433.8888854980469
31232.0,-420.1666666666667
31744.0,-428.1666666666667
32256.0,-500.0
33792.0,-399.6666666666667
34304.0,-418.0
34816.0,-441.8333333333333
35840.0,-431.0833333333333
36352.0,-456.05555216471356
37376.0,-477.77777608235675
37888.0,-422.3333333333333
38400.0,-439.3333333333333
38912.0,-434.55555470784503
39424.0,-432.0
39936.0,-408.0
40448.0,-425.6666666666667
40960.0,-427.0
41472.0,-457.6666666666667
43008.0,-435.7777811686198
43520.0,-435.0
44032.0,-410.3333333333333
44544.0,-440.5
45056.0,-446.8888854980469
45568.0,-410.44444274902344
46080.0,-447.55555216471356
46592.0,-442.6666666666667
47104.0,-474.0
48128.0,-428.3333333333333
48640.0,-450.2222188313802
49152.0,-416.5
50176.0,-435.59999593098956
51200.0,-427.3333333333333
51712.0,-439.2222188313802
52224.0,-407.6666666666667
53248.0,-478.5555555555556
53760.0,-435.6666666666667
54272.0,-461.9166666666667
54784.0,-423.0
55296.0,-423.1666653951009
55808.0,-430.8333333333333
56320.0,-452.8333333333333
56832.0,-398.3333333333333
57344.0,-468.5
58368.0,-477.6666666666667
58880.0,-431.3333333333333
59904.0,-446.8888854980469
60928.0,-420.6666666666667
61440.0,-461.3333333333333
61952.0,-481.0
62464.0,-471.3333333333333
62976.0,-482.0
63488.0,-461.0
64000.0,-500.0
64512.0,-460.40000406901044
65536.0,-474.8333333333333
66048.0,-464.0
66560.0,-500.0
68096.0,-500.0
69120.0,-500.0
69632.0,-457.11111111111114
70144.0,-500.0
70656.0,-500.0
71168.0,-477.0
72192.0,-500.0
72704.0,-500.0
73216.0,-500.0
74240.0,-500.0
74752.0,-500.0
75776.0,-483.5
77312.0,-421.0833333333333
77824.0,-463.9166666666667
78336.0,-500.0
78848.0,-500.0
79360.0,-455.77777608235675
80384.0,-500.0
80896.0,-500.0
81408.0,-500.0
81920.0,-500.0
82432.0,-500.0
82944.0,-500.0
83968.0,-500.0
85504.0,-459.9166666666667
86016.0,-500.0
86528.0,-500.0
87040.0,-500.0
88064.0,-445.9444440205892
88576.0,-500.0
89088.0,-500.0
89600.0,-500.0
90112.0,-500.0
90624.0,-500.0
91648.0,-500.0
93184.0,-411.3888880411784
94208.0,-500.0
94720.0,-477.1666666666667
95232.0,-500.0
95744.0,-477.6666666666667
96256.0,-500.0
96768.0,-489.1666666666667
97280.0,-500.0
98304.0,-500.0
98816.0,-490.3333333333333
99840.0,-500.0
