Step,Reward
1024.0,-353.6211700439453
2048.0,-347.8999786376953
3072.0,-314.9352213541667
4096.0,-288.5348307291667
5120.0,-324.6189219156901
6144.0,-349.81544494628906
7168.0,-297.5698547363281
8192.0,-279.74566650390625
9216.0,-319.75806681315106
10240.0,-346.49951171875
11264.0,-383.59376017252606
12288.0,-348.4497782389323
13312.0,-331.5015360514323
14336.0,-394.3669738769531
15360.0,-439.2673034667969
16384.0,-369.5299886067708
17408.0,-364.72681681315106
18432.0,-385.86126708984375
19456.0,-443.00722249348956
20480.0,-369.3393147786458
21504.0,-412.7163899739583
22528.0,-393.4176737467448
23552.0,-423.32781982421875
24576.0,-456.18736775716144
25600.0,-410.17543538411456
26624.0,-464.90477498372394
27648.0,-368.6470947265625
28672.0,-416.3964029947917
29696.0,-438.3197835286458
30720.0,-417.4176940917969
31744.0,-421.9042053222656
32768.0,-385.9158935546875
33792.0,-402.8713887532552
34816.0,-477.0155029296875
35840.0,-421.43577067057294
36864.0,-494.17186482747394
37888.0,-415.6869710286458
38912.0,-420.50831095377606
39936.0,-453.75168863932294
40960.0,-448.8663024902344
41984.0,-388.13641357421875
43008.0,-490.070556640625
44032.0,-461.2102457682292
45056.0,-508.13909912109375
46080.0,-470.19785563151044
47104.0,-474.5902506510417
48128.0,-379.28700256347656
49152.0,-405.30910237630206
50176.0,-425.2398986816406
51200.0,-492.5079040527344
52224.0,-466.7356669108073
53248.0,-431.5355631510417
54272.0,-463.36890665690106
55296.0,-435.36439005533856
56320.0,-393.0587615966797
57344.0,-430.9353535970052
58368.0,-452.8544108072917
59392.0,-439.361821492513
60416.0,-452.2688496907552
61440.0,-403.32887776692706
62464.0,-399.79547119140625
63488.0,-462.8425598144531
64512.0,-475.75550333658856
65536.0,-449.1274007161458
66560.0,-481.75254313151044
67584.0,-449.35546875
68608.0,-422.28578694661456
69632.0,-359.9099934895833
70656.0,-405.6272481282552
71680.0,-457.5021667480469
72704.0,-505.2844543457031
73728.0,-430.6209716796875
74752.0,-360.4097849527995
75776.0,-514.9968668619791
76800.0,-485.4058837890625
77824.0,-380.9264729817708
78848.0,-402.9791259765625
79872.0,-506.33933512369794
80896.0,-424.9474589029948
81920.0,-344.8329671223958
82944.0,-536.7482198079427
83968.0,-487.3903503417969
84992.0,-423.1306559244792
86016.0,-427.45362345377606
87040.0,-506.51880900065106
88064.0,-484.17999267578125
89088.0,-509.688720703125
90112.0,-479.3359883626302
91136.0,-388.89654541015625
92160.0,-522.5371805826823
93184.0,-433.9741617838542
94208.0,-381.91797892252606
95232.0,-422.0475769042969
96256.0,-480.67128499348956
97280.0,-477.73842366536456
98304.0,-472.9425862630208
99328.0,-463.46375528971356
